analysis_id,description,source,stratum_1_name,stratum_2_name,stratum_3_name,stratum_4_name,stratum_5_name
3100,Number of persons by pregnancy outcome,custom,pregnancy_outcome,,,,
3101,Number of records by pregnancy outcome,custom,pregnancy_outcome,,,,
3106,Distribution of age,custom_dist,,,,,
3111,Distribution of length of pregnancy in days,custom_dist,,,,,
3120,Number of records by start month,custom,calendar month,,,,
3142,Number of records by age decile,custom,,,,,
3150,Number of persons by pregnancy mode delivery,custom,pregnancy_mode_delivery,,,,
3151,Number of records by pregnancy mode delivery,custom,pregnancy_mode_delivery,,,,
3152,Number of persons by pregnancy single,custom,pregnancy_single,,,,
3153,Number of records by pregnancy single,custom,pregnancy_single,,,,
3154,Number of pregnancies with linked children,custom,,,,,
3155,Distribution of length of observation period among children linked to pregnancy,custom_dist,,,,,
3156,Number of pregnancies per person,custom_dist,,,,,
