ANALYSIS_ID,STRATUM_1,STRATUM_2,STRATUM_3,STRATUM_4,STRATUM_5,COUNT_VALUE,MIN_VALUE,MAX_VALUE,AVG_VALUE,STDEV_VALUE,MEDIAN_VALUE,P10_VALUE,P25_VALUE,P75_VALUE,P90_VALUE
0,"""""",1.4.0.900,20260504,1.7,Aug  5 2022 11:13AM,119040,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,119100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8507,NA,NA,NA,NA,60400,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8532,NA,NA,NA,NA,58800,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1911,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1912,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1913,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1914,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1915,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1916,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1917,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1918,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1919,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1920,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1921,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1922,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1923,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1924,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1925,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1926,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1927,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1928,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1929,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1930,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1931,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1932,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1933,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1934,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1935,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1936,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1937,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1938,NA,NA,NA,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1939,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1940,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1941,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1942,NA,NA,NA,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1943,NA,NA,NA,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1944,NA,NA,NA,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,NA
